"","SELL","GALECTIN","MIF","SELPLG","PARs","CD34","ICAM","TGFb","LAMININ","COLLAGEN","SEMA4","THBS","ITGAL-ITGB2","MHC-I","CD52","VISFATIN","CCL","ANGPTL","SPP1","PTN","FN1","GRN","FLT3","LIGHT","TNF","APP","MK","PECAM1","VCAM","ANGPT","JAM","CXCL","VWF","ADIPONECTIN","NRXN","ESAM","FGF","NOTCH","PSAP","MHC-II","KIT","VEGF","PDGF","BST2","CLEC","TENASCIN","CD96","IL2","CSF","CD45","IL4","THY1","OSM","EPHA","IL1","EPHB","TWEAK","CD39","CD200","IL6","GDF","WNT","BAFF","LIFR","AGRN","NODAL","SELE","BSP","TRAIL","ANNEXIN","SN","CD22","NCAM","IGF","IL16","SEMA7","GP1BA","LAIR1","L1CAM","HGF","GAS","COMPLEMENT","ENHO","PROS","PERIOSTIN","MPZ","LCK","NKG2D","SEMA3","ICOS","CD86","IL12","IFN-II","ALCAM","CD6","MELANOCORTIN","VTN","IL10","ncWNT","RESISTIN","CDH5","SEMATOSTATIN","VISTA","SEMA6","HSPG","NRG","CDH","CHAD","IL7","LT","HH","BMP","CEACAM","CD23","BTLA","PD-L1","CD226","PVR","DMP1","CX3C","CADM","ACTIVIN","CD1D2","PDL2","MAG","CD137","SLURP","CLDN","CDH1","OX40","CD46","SEMA5","CHEMERIN","APELIN","PTH","IL17","RANKL","CNTN","AGT","CD80","CALCR","CD30","EDN","EDA","CSPG4","NGL","GALANIN","NPFF","BRADYKININ","OPIOID","XCR","NPR2","FASLG","VEGI","TAC","NPY","OCLN","OXT","PTPRM","SCT"
"Chondrocytes",0,0,0.042771974988624,0,0,0,0,0,0,1.69120711165959,0,0.62682867318982,0,0,0,0,0,0,0.00717336832420416,0,0.222643096043671,0,0,0,0,0,0,0,0,0,0,0.00756396138174382,0,0,0,0,0,0,0,0,0,0,0.0010173384383979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604635725902471,0,0,0,0,0,0,0,0.0195382379248706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219665403587015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0.0110493937976261,0,0,0,0,0,0,0.378862109456514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204497609388777,0.0372409836108008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747615089982969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00900451360055038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0.00760619684217423,0.00922014246643609,0,0,0,0,0,0,0.376212821323886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120803878793166,0.0329141115243225,0,0,0,0,0,0.00730072204470662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252053446657695,0,0,0.0211118602682976,0,0.00721203417038297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230487699373964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0.0101750943404124,0,0,0,0,0,0,0.161183991668777,0,0,0,0,0,0,0,0.2377595143732,0,0,0,0,0,0,0,0,0,0,0,0,0.0062705614251161,0.00915095142935755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151849239906623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214085574075779,0,0,0.027092731251283,0,0.00598425957236711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218031513021739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0,0.02653750609448,0,0,0,0,0,0.0136490499562829,1.16372668783021,0,0.750323148696123,0,0,0,0,0,0,0.0128477798666593,0,0.247396731255218,0,0,0,0,0,0,0,0,0,0.0034938781012719,0.00696828128084451,0,0,0,0,0,0,0,0,0,0,0.00158375979922834,0,0,0.116620536022143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277274278237539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732856281816309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0.0104759840022695,0,0,0,0,0,0.0300639750861523,0.702048515086269,0,0,0,0,0,0,0,0.203350004603262,0.0451443333992971,0,0,0,0,0,0,0,0.340690966770357,0,0,0,0,0.0700257960908223,0,0.145393139293001,0,0,0.0261108002027421,0,0,0,0,0,0,0,0,0.14318791879098,0,0,0,0,0,0,0,0,0,0,0.00939711300808011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136367096403037,0,0,0.0259511087680909,0,0.00594590913726179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0.0270885728285114,0,0,0,0,0,0.0109400260655622,0.931898941961832,0,0.0369517699197801,0,0,0,0,0,0.161288624844875,0.0549634414185125,0,0.0518201889472644,0,0,0,0,0,0.115616384298737,0,0,0,0,0.0557665362502634,0,0.0261525045668816,0,0,0.0061423122475599,0,0,0,0,0,0.00181463888928003,0,0,0.201836588377692,0,0,0,0,0,0,0,0,0,0,0.00590453968817463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271196045060912,0,0,0,0,0,0,0,0.0857326802699407,0,0,0.0240906232393862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582913267060824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858822967487312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0,0.012320193870498,0,0,0,0,0,0,0.0648845382577172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329486048441619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0.0290998739802172,0,0,0,0,0,0.0127971224534219,1.2137670588279,0,0.691277656919803,0,0,0,0,0,0,0.0392449540536767,0.0917406804198754,0.223548657887057,0,0,0,0,0,0.103861908216205,0,0,0,0.00264888874764319,0.00869058376498825,0,0,0,0,0,0,0,0,0,0,0.00321672721247157,0,0,0.0803498959367582,0,0,0,0,0,0,0,0,0,0,0.0061441387363711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077939300595042,0,0,0,0,0,0,0,0.0679420956238855,0,0,0.0157586116105669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182027221599067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0.0234287488095789,0,0,0,0,0,0.0269434608063611,0.857777607437303,0,0.23750934395085,0,0,0,0,0,0.0332311932662746,0.0454014502649209,0.0431741023728323,0.179050850437284,0,0,0,0,0,0,0,0,0,0.0119686238562937,0.00390972246213536,0,0,0,0,0,0,0,0,0,0,0.00503301426611205,0,0,0.0226257644838148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181433812288934,0,0,0,0,0,0,0,0,0,0,0.00993940447975897,0,0.012144597525131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161927992544312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
