"","MIF","PARs","GALECTIN","SELPLG","ICAM","APP","SELL","JAM","LAMININ","CD34","ITGAL-ITGB2","COLLAGEN","TGFb","PTN","CD52","MHC-I","VISFATIN","THBS","VCAM","ESAM","GRN","SPP1","ANGPTL","VWF","CCL","FN1","ANNEXIN","SEMA4","MK","COMPLEMENT","BAFF","ANGPT","NCAM","LIGHT","TNF","NOTCH","CXCL","NRXN","THY1","VEGF","BST2","ADIPONECTIN","SEMA7","FGF","IL2","PECAM1","IL4","FLT3","TENASCIN","KIT","CD45","PSAP","MHC-II","CD200","IGF","PDGF","TWEAK","NRG","IL12","CD39","GP1BA","WNT","EPHA","CSF","IL1","LAIR1","ACTIVIN","MPZ","CLEC","HGF","EPHB","BSP","AGRN","CD96","TRAIL","BMP","OSM","CD22","PROS","GDF","LIFR","NODAL","IL6","GAS","SELE","ENHO","CD23","SEMA6","PERIOSTIN","LT","IL16","SN","ALCAM","CD6","ncWNT","NKG2D","CDH","RESISTIN","OCLN","SEMA3","VISTA","CEACAM","IFN-II","L1CAM","CX3C","VTN","CD86","CADM","HH","DMP1","ICOS","CDH5","LCK","MELANOCORTIN","HSPG","CD46","PD-L1","IL7","CHAD","OX40","CD80","MAG","IL10","CALCR","PDL2","CD70","CD1D2","RANKL","SLURP","AGT","SEMA5","CSPG4","BTLA","CD137","EDA","APELIN","CD226","PVR","SEMATOSTATIN","CLDN","CD30","CSF3","NT","XCR","NPR2","CDH1","GALANIN","CNTN","PTH","IL17","RELN","CHEMERIN","EDN","FASLG","TAC","VEGI","NGL","NPFF","NGF","PTPRM","NPY","PACAP","PROK","NEGR","SCT","GDNF"
"Chondrocytes",0,0,0,0,0,0,0,0,0.0041856841639255,0,0,1.00447506182946,0,0,0,0,0,0.0434096623912501,0,0,0,0,0.194157559533468,0,0,0.0505118096533079,0,0,0.113375394484567,0,0,0,0.0407753921533119,0,0,0,0,0,0,0,0,0.029408383295117,0,0.0054859688280145,0,0,0,0,0.23022198548894,0,0,0,0,0,0.00153950524081252,0,0.00489887499335231,0,0,0,0,0.000860153527664835,0,0,0,0,0,0.00709744190663639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477374659713454,0,0,0,0,0,0,0,0,0,0,0,0,0.0149064215590176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0,0,0.0123894269481105,0,0,0,0,0,0,0,0,0.0304205595791287,0,0,0,0,0.0860470248424785,0,0,0,0,0,0.0313319500465647,0,0,0,0,0,0,0,0,0,0,0.0256930134070221,0,0.0260460463662413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0,0,0,0,0,0,0.0109386608638977,0,0,0,0,0,0,0,0,0.00964946096448703,0,0,0,0,0.109027700166358,0,0,0,0,0,0.0291040300401825,0,0,0,0,0,0,0,0,0,0,0.031767025660624,0,0.00989206816836489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104614728010715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279192718559295,0,0,0,0,0.108003931753171,0,0,0,0,0,0.0314421471018285,0,0,0,0,0,0,0,0,0,0,0.0243905120883799,0,0.00938370868795621,0,0,0,0,0,0,0,0,0,0,0,0,0.00150466284853279,0,0,0,0,0,0,0,0,0,0,0,0,0.00868535421350165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0.0270885728285114,0,0,0,0,0,0,0,0.0109400260655622,0,0,0.931898941961832,0,0,0,0,0,0.0369517699197801,0,0,0,0.0549634414185125,0.161288624844875,0,0,0.0518201889472644,0,0,0.115616384298737,0,0,0,0.0271196045060912,0,0,0,0.0557665362502634,0,0,0,0,0.0261525045668816,0,0.0061423122475599,0,0,0,0,0.201836588377692,0,0,0,0,0,0,0.00181463888928003,0.00590453968817463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240906232393862,0,0,0,0,0.0857326802699407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582913267060824,0,0,0,0,0,0,0,0,0,0,0,0,0.00858822967487312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0,0,0.00639870233316068,0,0,0.694226119895515,0,0,0,0,0,0.0235841244173923,0,0,0,0,0.254635362634944,0,0.019908469131241,0.027536033754907,0,0,0.0938851484971291,0,0,0,0.0241562464721898,0,0,0,0,0,0,0,0,0.00751133678899121,0,0.0120408748961073,0,0,0,0,0.191448043680125,0,0,0,0,0,0,0.0119180170484627,0,0,0,0,0,0,0,0,0,0,0,0.00862984395735879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779980897878141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729540218568083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0,0,0.00394687615786918,0,0,0.612671551601791,0,0,0,0,0,0.0278258036162306,0,0,0,0.1772729241223,0.283735545848314,0,0.0174760196277912,0.0479465760621084,0,0,0.131208527863182,0,0,0,0.137582435257724,0,0,0,0,0,0,0,0,0.00726036272592913,0,0.0294638505393639,0,0,0,0,0.167367187842206,0,0,0,0,0,0,0.00942076436604975,0,0,0,0,0,0,0,0,0,0,0,0.00857310579591802,0,0,0,0.0779505685215176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389059829721867,0,0,0,0,0,0,0,0.0860534505716224,0,0,0,0,0,0,0,0,0,0,0.0628165692969319,0,0,0,0,0,0,0.0045015392266693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0.030931569491131,0,0,0,0,0,0,0,0.0231853857957111,0,0,0.734447918048367,0,0,0,0,0,0.0354955296876328,0,0,0,0,0.120083467186569,0,0,0.0413588473952094,0,0,0.0934024917187422,0,0,0,0.170287261860952,0,0,0,0.0634128358211728,0,0,0,0,0.00991052793213682,0,0.0200273052919775,0,0,0,0,0.195199437298706,0,0,0,0,0,0,0,0.0334622397589145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722877111988465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263720954558649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0,0,0.00988626844268868,0,0,1.3036280892547,0,0,0,0,0,0.039825034862751,0,0,0,0.22361352482391,0.252012527694158,0,0,0.0696688112638226,0,0,0.146918578170358,0,0,0,0.110256529741432,0,0,0,0,0,0,0,0,0.0222060606692861,0,0.0261503436096509,0,0,0,0,0.226966804114287,0,0,0,0,0,0,0.00447665083898074,0.0132290692652588,0,0,0,0,0.000322758445493327,0,0,0,0,0,0.00780198673345878,0,0,0,0.0753525084752497,0,0,0,0,0,0,0.00820481582461133,0,0,0,0,0.0304679797822877,0,0,0,0,0.037556257490632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521949778703341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0,0,0,0.00789421317980674,0,0,1.18357077494341,0.00256435920879889,0,0,0,0,0.0167234604357765,0,0,0,0.153235594023656,0.242741051516582,0,0.00377859786514839,0.0389983064668056,0,0,0.116904094979844,0,0,0,0.144188759831754,0,0,0,0,0,0,0,0,0.0256735283091345,0,0.0262841669732706,0,0,0,0,0.100793135786588,0,0,0,0,0,0,0.00432753219234115,0,0,0,0,0,0,0,0,0,0,0,0.0175770941122298,0,0,0,0.0306496710837039,0,0,0,0,0,0,0,0,0,0,0,0.0125246468649897,0,0,0,0,0.0149143552217115,0,0,0,0,0,0,0,0.107484243564334,0,0,0,0,0,0,0,0,0,0,0.100338745842589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00372494028393946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
